,jobTitle,companyName,jobPostingTime,numberOfApplicants,seniorityLevel,companyIndustry,employmentType,jobFunction,sizeOfEmployee
144,Account Executive B2B,Ninja Van,6 months ago,Over 200 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Sales', 'Business Development']","501-1,000 employees"
145,Credit Risk Analyst,Aspire - SEA,7 hours ago,Be among the first 25 applicants,Associate,"['Internet', 'Banking', 'Financial Services']",Full-time,"['Finance', 'Sales']",
146,Mobile Developer Consultant,MSBU,1 month ago,Be among the first 25 applicants,Mid-Senior level,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
147,UX Researcher,PT BFI Finance Indonesia Tbk,1 month ago,77 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
148,Senior Software Engineer - Jakarta,Advotics,2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
149,"Business Analyst, GoSend Web Portal",Go-Jek,4 days ago,Be among the first 25 applicants,Associate,Marketing and Advertising,Full-time,"['Business Development', 'Sales']",
150,Business Analyst (Intern) - Tourism and Government Sector - Jakarta,"MARKPLUS, INC.",1 month ago,65 applicants,Internship,"['Marketing and Advertising', 'Online Media', 'Public Relations and Communications']",Internship,"['Business Development', 'Sales']",201-500 employees
151,Senior Software Engineer - Android,Moka,5 months ago,54 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']","501-1,000 employees"
152,IT Programmer,PT Care Technologies,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",2-10 employees
153,Senior UX Researcher,Tokopedia,1 week ago,70 applicants,Associate,Internet,Full-time,"['Design', 'Analyst', 'Research']","1,001-5,000 employees"
154,Data Mining Developer - Central Jakarta,EZYTRAVEL.co.id,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Online Media', 'Internet']",Full-time,Information Technology,
155,Exploration Chief Geologist W/M,Eramet,2 weeks ago,99 applicants,Director,"['Mechanical or Industrial Engineering', 'Staffing and Recruiting', 'Human Resources']",Full-time,"['Research', 'Analyst', 'Information Technology']","10,001+ employees"
156,Software Engineer,Advotics,3 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
