,jobTitle,companyName,jobPostingTime,numberOfApplicants,seniorityLevel,companyIndustry,employmentType,jobFunction,sizeOfEmployee
1006,Full Stack Web Developer,detik.com,1 month ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1007,Data Scientist,PT Global Urban Esensial,3 weeks ago,Over 200 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",51-200 employees
1008,Analyst / Senior Analyst - Operating Finance,General Motors,2 days ago,Be among the first 25 applicants,Associate,,Full-time,"['Finance', 'Sales']",
1009,Data Analyst,J-Express,3 months ago,47 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Full-time,Information Technology,
1010,Data Engineer,Accelbyte,3 days ago,Be among the first 25 applicants,Entry level,Warehousing,Full-time,Information Technology,
1011,Software Engineer (Backend) - Corporate Technology,Traveloka,5 months ago,60 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
1012,Data Scientist,Pt. Cudo Communications,4 weeks ago,34 applicants,Associate,Information Technology and Services,Full-time,Information Technology,
1013,Product Manager,Halodoc ID,3 weeks ago,79 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Product Management', 'Marketing']",201-500 employees
1014,Frontend Software Engineer,Cyberquote Indonesia PT,6 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1015,"Software Engineer (Java), Indonesia",iZeno,2 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Management Consulting']",Full-time,"['Engineering', 'Information Technology']",
1016,Software Engineer (Location Platform),Traveloka,4 days ago,31 applicants,Mid-Senior level,Internet,Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
1017,Fleet Support Data Assistant Manager,Ninja Van,3 days ago,Be among the first 25 applicants,Entry level,Logistics and Supply Chain,Full-time,Other,"501-1,000 employees"
1018,Business Intelligence,GoToko,12 hours ago,126 applicants,Associate,Information Technology and Services,Full-time,"['Business Development', 'Analyst']",51-200 employees
1019,[BETA] Data Engineer,Traveloka,3 months ago,45 applicants,Not Applicable,Internet,Full-time,Information Technology,"1,001-5,000 employees"
1020,Principal Software Engineer,Kdr Human Resources Consulting,4 days ago,Be among the first 25 applicants,Associate,Human Resources,Full-time,"['Engineering', 'Information Technology']",
1021,Software Engineer - Billing,Xendit,3 months ago,33 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
1022,Data Engineer,Youtap Indonesia,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1023,Data Engineer,Cicil,2 months ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,Information Technology,
1024,"Experienced DCSA Investigator (Contractor) - Idaho Falls, ID",PerspectaX,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Defense & Space', 'Computer Software']",Full-time,"['Other', 'Information Technology', 'Management']",
1025,Technical Expert Data Engineer,Vidio,3 weeks ago,Be among the first 25 applicants,Mid-Senior level,Entertainment,Full-time,Information Technology,51-200 employees
1026,UX Researcher - Jakarta,Tunaiku,4 days ago,50 applicants,Associate,"['Market Research', 'Internet', 'Financial Services']",Full-time,Information Technology,"10,001+ employees"
1027,Senior Software Engineer - Disbursement,Xendit,2 months ago,Be among the first 25 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
1028,Data Engineer - Jakarta,Gramedia e-Perpust,4 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
1029,Data Engineer - Jakarta,iSeller,4 days ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1030,Internship Program: Software Engineer,Mekari (PT. Mid Solusi Nusantara),1 month ago,89 applicants,Internship,"['Information Technology and Services', 'Computer Software', 'Internet']",Internship,"['Education', 'Training']",
1031,"Manager, Marketing Analytics (Bangkok-based, relocation provided)",Agoda,4 weeks ago,70 applicants,Associate,Internet,Full-time,"['Marketing', 'Sales']","1,001-5,000 employees"
1032,Market Technology - Senior Business Analyst,HAVI,2 months ago,36 applicants,Not Applicable,"['Information Technology and Services', 'Logistics and Supply Chain', 'Staffing and Recruiting']",Full-time,"['Business Development', 'Sales']","10,001+ employees"
1033,Data Scientist,Cermati.com,3 weeks ago,116 applicants,Mid-Senior level,"['Information Technology and Services', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
1034,Data Scientist,Vidio,3 weeks ago,Over 200 applicants,Mid-Senior level,Entertainment,Full-time,"['Engineering', 'Information Technology']",51-200 employees
1035,Data Analyst,Qoala,2 months ago,130 applicants,Entry level,"['Internet', 'Staffing and Recruiting', 'Insurance']",Full-time,Information Technology,
1036,Data Engineer,Arogya.ai,4 hours ago,Be among the first 25 applicants,Entry level,Hospital & Health Care,Full-time,Information Technology,11-50 employees
1037,Technical Business Analyst,RGF,4 days ago,Be among the first 25 applicants,Associate,"['Automotive', 'Consumer Goods', 'Financial Services']",Full-time,"['Business Development', 'Sales']",
1038,Data Science Trainee,Algoritma,1 month ago,31 applicants,Internship,"['E-Learning', 'Higher Education', 'Computer Software']",Full-time,"['Engineering', 'Information Technology']",
1039,Head of Report Analyst,Qsi Recruitment,3 days ago,Be among the first 25 applicants,Associate,Warehousing,Full-time,Information Technology,
1040,Lead Data Engineer,99.co,2 months ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,Information Technology,
1041,Lowongan Senior Data Analyst,PT. Mega Central Finance,2 weeks ago,48 applicants,Associate,"['Banking', 'Financial Services']",Full-time,Information Technology,"1,001-5,000 employees"
1042,Cost Analyst ISC Finance Plant Bandung,Mondelēz International,2 weeks ago,Over 200 applicants,Entry level,"['Food Production', 'Food & Beverages', 'Consumer Goods']",Full-time,"['Finance', 'Sales']","10,001+ employees"
1043,Senior Machine Learning Engineer,Happyfresh,4 days ago,Be among the first 25 applicants,Associate,Warehousing,Full-time,"['Engineering', 'Information Technology']",
1044,Business Analyst Manager - Tangerang,Warung Pintar,4 days ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",201-500 employees
1045,Digital Data Analyst,PT. VIVO MOBILE INDONESIA,2 weeks ago,Over 200 applicants,Associate,Telecommunications,Full-time,"['Analyst', 'Strategy/Planning', 'Research']","1,001-5,000 employees"
1046,Head of Data Engineer,Michael Page,4 months ago,Be among the first 25 applicants,Associate,Financial Services,Full-time,Information Technology,"5,001-10,000 employees"
1047,Senior Data Engineer,Flip,3 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1048,IoT Product Manager,eFishery,3 weeks ago,55 applicants,Not Applicable,Farming,Full-time,"['Product Management', 'Marketing']",
1049,System Engineer (MIMIX),PT. Jasa Teknologi Informasi IBM,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Computer Networking']",Contract,Information Technology,
1050,Senior Data Engineer,Machtwatch,1 month ago,Be among the first 25 applicants,Associate,Retail,Full-time,Information Technology,201-500 employees
1051,Jr. Consultant - Consulting Firm,RGF HR Agent,6 months ago,Over 200 applicants,Entry level,"['Construction', 'Consumer Goods', 'Financial Services']",Full-time,"['Consulting', 'Information Technology', 'Sales']",51-200 employees
1052,Data Analyst,Shipper,2 weeks ago,31 applicants,Mid-Senior level,Logistics and Supply Chain,Full-time,Other,
1053,Data Analyst,Kapanlagi Youniverse,1 month ago,53 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1054,"Director, Development Planning and Feasibility, Asia Pacific",Marriott International,2 weeks ago,92 applicants,Director,"['Hospitality', 'Leisure, Travel & Tourism', 'Food & Beverages']",Full-time,"['Project Management', 'Business Development', 'Strategy/Planning']","10,001+ employees"
1055,Data Scientist,PT Global Urban Esensial,3 weeks ago,Over 200 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",51-200 employees
1056,IT System Analyst,PT Anabatic Digital Raya,2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Information Technology,
1057,CVM Data Scientist,Monroe Consulting Group,19 hours ago,Be among the first 25 applicants,Entry level,Marketing and Advertising,Full-time,"['Engineering', 'Information Technology']",51-200 employees
1058,Senior Data Scientist,PT. Sarimelati Kencana Tbk.,4 weeks ago,170 applicants,Mid-Senior level,Restaurants,Contract,"['Engineering', 'Information Technology']","5,001-10,000 employees"
1059,Infrastructure/System Engineer,Gtech Group,2 weeks ago,28 applicants,Associate,Online Media,Full-time,Engineering,
1060,Business Analyst,Rukita,2 months ago,194 applicants,Associate,"['Internet', 'Financial Services', 'Real Estate']",Full-time,"['Business Development', 'Sales']",
1061,Data Engineer,J-Express,3 months ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Full-time,Information Technology,
1062,Field Sales Planning Manager,Ninja Van,2 weeks ago,58 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Management', 'Manufacturing']","501-1,000 employees"
1063,Senior Production Engineer,"McDermott International, Ltd",1 month ago,64 applicants,Associate,"['Electrical/Electronic Manufacturing', 'Staffing and Recruiting', 'Oil & Energy']",Full-time,"['Management', 'Manufacturing']","10,001+ employees"
1064,Software Engineer - Frontend,iGrow,5 days ago,Be among the first 25 applicants,Entry level,,Full-time,"['Engineering', 'Information Technology']",
1065,Battery Cell Electrochemical Diagnostics Researcher - General Motors,General Motors,2 days ago,Be among the first 25 applicants,Associate,,Full-time,"['Research', 'Analyst', 'Information Technology']",
1066,iOS Engineer,Ruangguru.com,2 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1067,Full Stack Developer,82Cart,19 hours ago,Be among the first 25 applicants,Entry level,,Full-time,"['Engineering', 'Information Technology']",
1068,Senior Sales Marketing for Mineral and Metal Resources,RGF,2 days ago,Be among the first 25 applicants,Associate,"['Automotive', 'Consumer Goods', 'Financial Services']",Full-time,"['Sales', 'Business Development']",
