Id,jobTitle,companyName,postedDate,numOfApplicants,sizeOfEmployee,seniorityLevel,employmentType,jobFunction,companyIndustry
463,Data Engineer - Jakarta,Brick,Posted 5 days ago,1 applicant,,Entry level,Full-time,Information Technology,
464,Data Engineer,Modal Rakyat,Posted 1 month ago,12 applicants,,,,,
465,Data Engineer,PT Koltiva,Posted 1 week ago,3 applicants,,,,,
466,Data Engineer,Vidio,Posted 1 month ago,16 applicants,,,,,
467,Machine Learning Engineer,kreasi anak indonesia,Posted 1 day ago,7 applicants,,,,,
468,Data Engineer - Jakarta,Gramedia e-Perpust,Posted 5 days ago,1 applicant,,,,,
469,Freelance Data Engineer,Kisah Kreatif,Posted 1 month ago,26 applicants,,,,,
470,Data Engineer,Cicil,Posted 1 month ago,6 applicants,,,,,
471,Data Engineer,Qoala,Posted 1 month ago,14 applicants,,,,,
472,Data Engineer,PT Katadata Indonesia,Posted 1 month ago,35 applicants,,,,,
473,Data Engineer - Jakarta,Snaphunt,Posted 1 month ago,1 applicant,,,,,
474,Data Engineer,Jobs MNC,Posted 3 months ago,18 applicants,,,,,
475,Data Engineer,Brick,Posted 1 week ago,7 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
476,Data Scientist,Ruangguru.com,Posted 1 month ago,52 applicants,,,,,
477,Data Engineer,Jobs MNC,Posted 3 months ago,15 applicants,,,,,
478,Data Engineer,99.co,Posted 1 month ago,15 applicants,,,,,
479,Data Scientist,Ruangguru.com,Posted 1 month ago,87 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Internet']"
480,Data Engineer - Jakarta,PT Pintu Kemana Saja,Posted 4 days ago,0 applicants,,Entry level,Full-time,Information Technology,
481,[BETA] Data Engineer,Traveloka,Posted 3 months ago,45 applicants,,,Full-time,Information Technology,Internet
482,Quantitative Researcher - Jakarta,Pinnacle Investment,Posted 1 month ago,14 applicants,,Associate,Full-time,"['Finance', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
